research_group_id,name,description
1,"Robotica, Control y Procesado de Senal","Fomentar el desarrollo de sistemas de control de procesos y robotica, basado en soluciones de hardware y software, con el fin de satisfacer las necesidades de la academia y de la industria."
1,Telecomunicaciones,"Desarrollo de proyectos de investigacion que permitan conocer, profundizar y evaluar conceptos y tecnologias de Telecomunicaciones y radiocomunicacion como son los fenomenos de propagacion electromagnetica, antenas, microondas, propagacion inalambrica, telecomunicaciones moviles, modelos de radiopropagacion, redes de sensores inalambricos, gestion de espectro; con el proposito de desarrollar aplicaciones hardware- software que resuelvan problemas de gran impacto social y economico en la region y el pais."
2,Ingenieria del Software,"Esta linea de investigacion estudia el rasgo distintivo del programa de pregrado en Ingenieria de Sistemas de la UDI. Aborda los metodos de ingenieria, estandares y restricciones aplicados al desarrollo de software y su evolucion permanente bajo la influencia de la academia y la industria del software."
2,Sistemas de Informacion,"Aborda el componente organizacional de la incorporacion de tecnologias de la informacion, correspondiente a la articulacion entre el programa de pregrado en Ingenieria de Sistemas, la Especializacion en Seguridad Informatica, y la Maestria en Gestion de Tecnologias de la Informacion."
2,Nuevas tecnologias aplicadas a la educacion,"Linea para proyectos de investigacion aplicada y formativa en desarrollo e incorporacion de Tecnologias de la Informacion en procesos educativos, cuyos requerimientos impliquen la vision y los modelos de desarrollo de ingenieria."
3,Gestion competitiva de la cadena de suministros,"Esta linea se orienta a la caracterizacion y diseno de procesos productivos en las areas funcionales de las organizaciones de la region para mejorar su desempeno e incrementar su productividad, fortaleciendo la relacion Universidad-Organizacion."
4,"Ciencias naturales, medio ambiente y desarrollo sostenible","Esta linea de investigacion es acorde con las areas cubiertas por el Departamento de Ciencias Basicas y Humanas de la UDI se enfoca en el estudio e investigacion de las variables medio ambientales, cuidado del medio ambiente, impacto ambiental y sostenibilidad de procesos productivos, alternativas para la gestion y valorizacion de desechos y energias renovables."
4,Educacion y competencias Ciudadanas,"Esta linea de investigacion se enfoca en estudiar problemas de educacion tales como: politicas publicas sobre educacion, estrategias pedagogicas sobre la lectura y escritura, desarrollo y apropiacion de las competencias ciudadanas, problemas eticos y de sociedad que surgen a partir de la interaccion con los otros."
4,Investigacion y desarrollo en Fisica teorica y experimental,"Esta linea de investigacion esta enfocada en el desarrollo de productos de investigacion en el area de Fisica, desde la investigacion teorica, pasando por la simulacion en condiciones ideales hasta la investigacion experimental buscando el desarrollo de sistemas funcionales."
4,"Pedagogia, Didactica e Innovacion en el proceso de la Ensenanza y el Aprendizaje","Esta linea se enfoca en el desarrollo de estrategias pedagogicas y didacticas para el mejoramiento del proceso ensenanza aprendizaje en todas las areas del conocimiento; asi mismo, la implementacion de las tecnologias de la informacion y la comunicacion aplicadas en el aula."
4,"Quimica analitica, experimental y aplicada","Esta linea esta enfocada en el desarrollo de metodos analiticos, fisicoquimicos, tecnicas, procesos y soluciones para su aplicacion en diferentes campos (farmaceutica, biotecnologia, etc)."
5,"Diseno, imagen y comunicacion visual","Construir conceptos que permitan la creacion y consolidacion de una cultura de identidad grafica de las instituciones y productos, a favor del desarrollo local, regional y nacional. Complementar los estudios de mercadeo y aportar herramientas que contribuyan al desarrollo visual publicitario. Disminuir la contaminacion visual a traves del desarrollo de instrumentos y propuestas publicitarias alternas. Estudiar los diferentes modelos de comunicacion humana a traves de los medios y modos de comunicacion, facilitando la creacion de estrategias que permitan al diseno acoplarse eficazmente a las nuevas tendencias comunicacionales."
5,Gestion cultural para el fomento de la cultura ciudadana,Promover el empoderamiento de las comunidades en sus procesos de desarrollo con el fin de que estos sean los generadores de transformaciones sociales de sus propios entornos por medio del diseno de propuestas proyectuales.
5,Gestion cultural para el fomento de la industria turistica.,"Desarrollar proyectos que involucren procesos desde la gestion en la cual el diseno es un participante activo para analizar, crear y ejecutar propuestas cuyo resultado puede ser desde lo proyectual hasta lo visual y tangible donde el turismo es un elemento a potencializar tomando como base la realidad del contexto y sus reales alcances."
6,Desarrollo Empresarial Competitivo,"Centra sus esfuerzos en apoyar el crecimiento y la competitividad de las empresas colombianas, a traves de proyectos que promuevan estrategias para la creacion de ventajas competitivas sostenibles de organizaciones publicas como privadas."
6,Estrategia Organizacional,Centra sus esfuerzos en lograr que las empresas y entidades publicas maximicen su potencial a traves de proyectos enfocados en la optimizacion de los procesos.
7,Investigacion criminal y forense,"El trabajo en esta linea esta enfocado en el desarrollo cientifico de caracter aplicado, para aportar elementos innovadores a los procesos de investigacion criminal y forense, en aras de una eficiente y eficaz aplicacion de la justicia."
8,"Conflictos, Violencias y Representaciones sociales","Trabajando sobre el desarrollo humano a raiz del estudio de temas relacionados con el conflicto, la violencia y sus representaciones sociales, mediante el desarrollo de procesos enmarcados en la investigacion cientifica; con un grupo humano con principios eticos, teoricos, epistemologicos y empiricos que aporten al fortalecimiento de la disciplina, a traves de la integracion de los diferentes campos de la psicologia, generando asi por su accion, nuevo conocimiento, pautas, herramientas e indicadores que posibiliten alternativas de mejora a las diferentes problematicas sociales existentes."
9,"Estudio de amenazas, vulnerabilidad y riesgos a fenomenos naturales y antropicos que colocan en peligro la vida humana y los bienes","La linea se orienta a la comprension de fenomenos que ocurren con una determinada frecuencia y que pueden generar amenaza, vulnerabilidad y riesgo en un grupo social o en un entorno construido. Como consecuencia, la linea de investigacion permea en varios de los Objetivos de Desarrollo Sostenible (ODS) y pertime su articulacion con el sector industrial fortalecienciendo la relacion universidad-industria"
10,"Comunicacion, mediacion y contextos culturales","Esta linea de investigacion se trabaja desde tres ejes tematicos como lo son: La comunicacion, la mediacion y los contextos culturales; estas abren posibilidades de trabajo con otros grupos de investigacion cuyo objeto de estudio se asimile al nuestro. Ademas, articular intereses en el ambito comunicacional brinda escenarios de cooperacion interinstitucional apuntando a proyectos conjuntos que alcancen publicaciones desde las instituciones en revistas indexadas."
11,Globalizacion organizacional y sostenibilidad,"La globalizacion es un proceso economico, politico, tecnologico, social y cultural que ha transformado e interconectado a las naciones y que ha afectado, de diversas maneras, los mercados, tecnologias, comercializaciones, comunicaciones, politicas y desarrollos industriales a nivel global. La globalizacion ha sido una consecuencia del capitalismo en la busqueda de expandir el comercio internacional, la produccion y el consumo, donde el internet y el desarrollo tecnologico han sido clave. Este proceso en el que las empresas y mercados sobrepasan las fronteras nacionales y alcanzan una dimension mundial, brindan un sin numero de oportunidades para disminuir riesgos de exclusion, con la aplicacion de estrategias sostenibles que les permitan alcanzar la competitividad. La sostenibilidad en los negocios cada vez es mas importante a nivel global donde el actuar etico y transparente de paises y organizaciones garantizan el equilibrio en lo ambiental, social y economico, con la formulacion de estrategias corporativas, donde la innovacion y las TIC juegan un rol importante en la cadena de valor de los negocios y garantizan que estos sean negocios sostenibles."
12,"Diseno, Transiciones y Desarrollo local","Busca integrar 3 aspectos claves para la consolidacion de escenarios sustentables locales: el diseno como estrategia articuladora (interpretado como proyecto, proceso, resultado, cultura, disciplina, entre otros); el enfoque de las transiciones aporta una vision compleja y prospectiva que permite proyectar escenarios deseables a corto, mediano y largo para lograr un desarrollo local que armonice, desde una postura biocentrica, las dimensiones ecologicas, socioculturales, politicas y economicas."
13,Publicidad,"La linea de investigacion ""Publicidad"" se enfoca en el estudio de las estrategias y tecnicas utilizadas para comunicar mensajes persuasivos a un publico objetivo. Esto incluye el analisis de los diferentes tipos de publicidad (tradicional, digital, etc.), los medios publicitarios, el comportamiento del consumidor y la efectividad de las campanas publicitarias. El objetivo es comprender como crear mensajes publicitarios que sean relevantes, atractivos y persuasivos, y que logren los objetivos de marketing de las marcas."
13,Marketing,"La linea de investigacion ""Marketing"" se enfoca en el estudio de las estrategias y tecnicas para entender y satisfacer las necesidades del consumidor, logrando los objetivos de negocio de manera sostenible. Esto abarca el analisis del comportamiento del consumidor, las tendencias del mercado, la innovacion en marketing digital y la planificacion estrategica. El objetivo es desarrollar estrategias de marketing efectivas, innovadoras y responsables, que impulsen el crecimiento empresarial y generen valor a largo plazo."
14,"Derecho, Estado y Resolucion de conflictos","Esta linea de investigacion se crea con el fin de dar solidez al grupo de investigaciones juridicas del programa de Derecho de la Universidad de Investigacion y Desarrollo UDI. Tiene como objetivo observar, analizar y comprender los problemas socio-juridicos existentes en la sociedad y en la legislacion colombiana con el fin de formular soluciones criticas y asertivas con la rigurosidad de la investigacion cientifico-juridica."
15,Procesos de Aprendizaje,"Se centra en el estudio de todos aquellos procesos de aprendizaje relacionados con aspectos cognitivos, metacognitivos y motivacionales que a traves de la mediacion TIC y la inclusion de la inteligencia artificial en las aulas de clase presencial, sincronas y asincronas se presentan como parte de los procesos formativos."
15,Mediacion TIC,"Aportar al estudio de las tendencias, recursos y mediaciones pedagogicas y didacticas que se presentan en los procesos de articulacion de la praxis de los docentes con relacion al aprendizaje, ensenanza y evaluacion."
15,Alfabetizacion Tecnologica,"Tiene como proposito el desarrollo de pensamiento tecnologico aplicado a la educacion, la alfabetizacion digital y tecnologica como una manera de impactar de forma favorable en aspectos asociados con las dificultades que se presenta en relacion a la apropiacion, desarrollo e implementacion de tecnologias en los contextos educativos de aula."
16,Gestion y Control Contable,"Esta linea se enfoca en lidera trabajos investigativos para el asegurarmiento financiero, fortalecer el desarrollo economico regional, promover la cultura de sostenibilidad empresarial y generar conocimiento en la profesion contable y su relacion con otras disciplinas"
17,Sin linea,Indica que el programa aun no tiene una linea de investigacion asignada.
